timestamp_utc,match_id,team_id,opponent_id,score,rating_before,rating_after,k_factor,replay_path
2026-08-28T21:48:30Z,b8c07b8ad2e9,nova-vertical,release-deep-denial-g3,0.5,1515.262,1514.56,32,var/matches/matches/20260828T214646Z-b8c07b8ad2e9-nova-vertical-vs-release-deep-denial-g3.ndjson
2026-08-28T21:48:30Z,b8c07b8ad2e9,release-deep-denial-g3,nova-vertical,0.5,1500.0,1500.702,32,var/matches/matches/20260828T214646Z-b8c07b8ad2e9-nova-vertical-vs-release-deep-denial-g3.ndjson
2026-08-28T21:57:08Z,8c2db8f8eab6,nova-vertical,release-deep-denial-g4,0.5,1514.56,1513.89,32,var/matches/matches/20260828T215526Z-8c2db8f8eab6-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-28T21:57:08Z,8c2db8f8eab6,release-deep-denial-g4,nova-vertical,0.5,1500.0,1500.67,32,var/matches/matches/20260828T215526Z-8c2db8f8eab6-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-28T21:59:41Z,91cc4fe392ce,release-deep-denial-g4,nova-vertical,0.0,1500.67,1485.279,32,var/matches/matches/20260828T215708Z-91cc4fe392ce-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-28T21:59:41Z,91cc4fe392ce,nova-vertical,release-deep-denial-g4,1.0,1513.89,1529.281,32,var/matches/matches/20260828T215708Z-91cc4fe392ce-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-28T22:02:12Z,90112fca5b8b,nova-vertical,release-deep-denial-g4,0.5,1529.281,1527.265,32,var/matches/matches/20260828T220005Z-90112fca5b8b-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-28T22:02:12Z,90112fca5b8b,release-deep-denial-g4,nova-vertical,0.5,1485.279,1487.295,32,var/matches/matches/20260828T220005Z-90112fca5b8b-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-28T22:04:51Z,b2fb28382816,release-deep-denial-g4,nova-vertical,1.0,1487.295,1505.128,32,var/matches/matches/20260828T220212Z-b2fb28382816-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-28T22:04:51Z,b2fb28382816,nova-vertical,release-deep-denial-g4,0.0,1527.265,1509.432,32,var/matches/matches/20260828T220212Z-b2fb28382816-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-28T22:13:49Z,3b4b0fc8580f,release-deep-denial-g4,simple-four-modes,0.5,1505.128,1504.159,32,var/matches/matches/20260828T221103Z-3b4b0fc8580f-release-deep-denial-g4-vs-simple-four-modes.ndjson
2026-08-28T22:13:49Z,3b4b0fc8580f,simple-four-modes,release-deep-denial-g4,0.5,1484.068,1485.037,32,var/matches/matches/20260828T221103Z-3b4b0fc8580f-release-deep-denial-g4-vs-simple-four-modes.ndjson
2026-08-28T22:16:36Z,34bf175e89b2,simple-four-modes,release-deep-denial-g4,0.5,1485.037,1485.917,32,var/matches/matches/20260828T221349Z-34bf175e89b2-simple-four-modes-vs-release-deep-denial-g4.ndjson
2026-08-28T22:16:36Z,34bf175e89b2,release-deep-denial-g4,simple-four-modes,0.5,1504.159,1503.279,32,var/matches/matches/20260828T221349Z-34bf175e89b2-simple-four-modes-vs-release-deep-denial-g4.ndjson
2026-08-28T22:21:57Z,9cfc916e0594,nova-vertical,release-balanced-g5,0.5,1509.432,1508.998,32,var/matches/matches/20260828T221922Z-9cfc916e0594-nova-vertical-vs-release-balanced-g5.ndjson
2026-08-28T22:21:57Z,9cfc916e0594,release-balanced-g5,nova-vertical,0.5,1500.0,1500.434,32,var/matches/matches/20260828T221922Z-9cfc916e0594-nova-vertical-vs-release-balanced-g5.ndjson
2026-08-28T22:25:19Z,52ddcc4865b1,release-finish-window-g6,simple-four-modes,0.5,1500.0,1499.352,32,var/matches/matches/20260828T222330Z-52ddcc4865b1-release-finish-window-g6-vs-simple-four-modes.ndjson
2026-08-28T22:25:19Z,52ddcc4865b1,simple-four-modes,release-finish-window-g6,0.5,1485.917,1486.565,32,var/matches/matches/20260828T222330Z-52ddcc4865b1-release-finish-window-g6-vs-simple-four-modes.ndjson
2026-08-28T22:27:42Z,fc6d9f09b141,nova-vertical,release-finish-window-g6,0.5,1508.998,1508.554,32,var/matches/matches/20260828T222519Z-fc6d9f09b141-nova-vertical-vs-release-finish-window-g6.ndjson
2026-08-28T22:27:42Z,fc6d9f09b141,release-finish-window-g6,nova-vertical,0.5,1499.352,1499.796,32,var/matches/matches/20260828T222519Z-fc6d9f09b141-nova-vertical-vs-release-finish-window-g6.ndjson
2026-08-28T22:33:07Z,95632e55aefd,strict-wide-pocket-g1,release-and-run,0.5,1500.0,1501.336,32,var/matches/matches/20260828T223049Z-95632e55aefd-strict-wide-pocket-g1-vs-release-and-run.ndjson
2026-08-28T22:33:07Z,95632e55aefd,release-and-run,strict-wide-pocket-g1,0.5,1529.078,1527.742,32,var/matches/matches/20260828T223049Z-95632e55aefd-strict-wide-pocket-g1-vs-release-and-run.ndjson
2026-08-28T22:40:09Z,6ecd44f6d10f,release-and-run,strict-wide-pocket-g2,0.5,1527.742,1526.467,32,var/matches/matches/20260828T223836Z-6ecd44f6d10f-release-and-run-vs-strict-wide-pocket-g2.ndjson
2026-08-28T22:40:09Z,6ecd44f6d10f,strict-wide-pocket-g2,release-and-run,0.5,1500.0,1501.275,32,var/matches/matches/20260828T223836Z-6ecd44f6d10f-release-and-run-vs-strict-wide-pocket-g2.ndjson
2026-08-28T22:46:15Z,e4cf075195e5,strict-wide-pocket-g3,release-and-run,0.5,1500.0,1501.216,32,var/matches/matches/20260828T224437Z-e4cf075195e5-strict-wide-pocket-g3-vs-release-and-run.ndjson
2026-08-28T22:46:15Z,e4cf075195e5,release-and-run,strict-wide-pocket-g3,0.5,1526.467,1525.251,32,var/matches/matches/20260828T224437Z-e4cf075195e5-strict-wide-pocket-g3-vs-release-and-run.ndjson
2026-08-28T22:48:19Z,b8be907e1e7d,release-and-run,strict-wide-pocket-g3,0.5,1525.251,1524.146,32,var/matches/matches/20260828T224615Z-b8be907e1e7d-release-and-run-vs-strict-wide-pocket-g3.ndjson
2026-08-28T22:48:19Z,b8be907e1e7d,strict-wide-pocket-g3,release-and-run,0.5,1501.216,1502.321,32,var/matches/matches/20260828T224615Z-b8be907e1e7d-release-and-run-vs-strict-wide-pocket-g3.ndjson
2026-08-28T22:51:00Z,916decd7e928,release-and-run,nova-vertical,0.5,1524.146,1523.428,32,var/matches/matches/20260828T224851Z-916decd7e928-release-and-run-vs-nova-vertical.ndjson
2026-08-28T22:51:00Z,916decd7e928,nova-vertical,release-and-run,0.5,1508.554,1509.272,32,var/matches/matches/20260828T224851Z-916decd7e928-release-and-run-vs-nova-vertical.ndjson
2026-08-28T22:53:20Z,1cd7a2cab885,nova-vertical,release-and-run,0.5,1509.272,1509.924,32,var/matches/matches/20260828T225100Z-1cd7a2cab885-nova-vertical-vs-release-and-run.ndjson
2026-08-28T22:53:20Z,1cd7a2cab885,release-and-run,nova-vertical,0.5,1523.428,1522.776,32,var/matches/matches/20260828T225100Z-1cd7a2cab885-nova-vertical-vs-release-and-run.ndjson
2026-08-28T23:01:54Z,26fd4e83cb16,release-and-run,strict-wide-pocket-g3,0.5,1522.776,1521.835,32,var/matches/matches/20260828T225933Z-26fd4e83cb16-release-and-run-vs-strict-wide-pocket-g3.ndjson
2026-08-28T23:01:54Z,26fd4e83cb16,strict-wide-pocket-g3,release-and-run,0.5,1502.321,1503.262,32,var/matches/matches/20260828T225933Z-26fd4e83cb16-release-and-run-vs-strict-wide-pocket-g3.ndjson
2026-08-28T23:06:39Z,16a90a8d70d3,nova-vertical,release-deep-denial-g4,0.5,1509.924,1509.618,32,var/matches/matches/20260828T230406Z-16a90a8d70d3-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-28T23:06:39Z,16a90a8d70d3,release-deep-denial-g4,nova-vertical,0.5,1503.279,1503.585,32,var/matches/matches/20260828T230406Z-16a90a8d70d3-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-28T23:09:12Z,35988b7b87e7,release-deep-denial-g4,nova-vertical,1.0,1503.585,1519.863,32,var/matches/matches/20260828T230639Z-35988b7b87e7-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-28T23:09:12Z,35988b7b87e7,nova-vertical,release-deep-denial-g4,0.0,1509.618,1493.34,32,var/matches/matches/20260828T230639Z-35988b7b87e7-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-28T23:11:03Z,0ee2d149c3b0,nova-vertical,strict-wide-pocket-g3,0.5,1493.34,1493.797,32,var/matches/matches/20260828T230912Z-0ee2d149c3b0-nova-vertical-vs-strict-wide-pocket-g3.ndjson
2026-08-28T23:11:03Z,0ee2d149c3b0,strict-wide-pocket-g3,nova-vertical,0.5,1503.262,1502.805,32,var/matches/matches/20260828T230912Z-0ee2d149c3b0-nova-vertical-vs-strict-wide-pocket-g3.ndjson
